,id,lat,lon,elev,TMAX
141,US10ceda013,42.6702,-97.1716,384.0,
142,US10ceda014,42.3951,-97.0319,438.0,
143,US10ceda015,42.3722,-97.3592,509.9,
144,US10ceda016,42.5973,-97.022,442.9,
145,US10ceda017,42.6787,-97.4261,465.1,
146,US10ceda020,42.7043,-97.3915,0.0,
147,US10ceda021,42.8092,-97.2482,0.0,
148,US10ceda026,42.7285,-97.2466,0.0,
149,US10chas001,40.5158,-101.6451,1004.0,
150,US10chas002,40.4629,-101.5907,975.1,
151,US10chas003,40.4085,-101.6227,1054.0,
152,US10chas004,40.6257,-101.5369,1001.0,
153,US10chas005,40.5495,-101.7773,1015.9,
154,US10chas006,40.4949,-101.8424,1028.1,
155,US10chas007,40.629,-101.9119,1061.0,
156,US10chas008,40.5493,-101.9893,1072.0,
157,US10chas009,40.6615,-101.4202,958.0,
158,US10chas010,40.5253,-101.6226,0.0,
159,US10chas011,40.5667,-101.7244,1014.1,
160,US10chas012,40.4836,-101.9051,1035.1,
161,US10chas013,40.6768,-101.9156,1068.0,
162,US10chas016,40.5227,-101.9864,1068.9,
163,US10chas017,40.6122,-101.3454,990.0,
164,US10chas018,40.5089,-101.3614,919.9,
165,US10chas019,40.5059,-101.4966,1021.1,
166,US10chas021,40.4253,-101.4242,908.9,
167,US10chas023,40.6832,-101.6432,1018.0,
168,US10chas024,40.3657,-101.4365,1008.9,
169,US10chas025,40.4213,-101.7182,1015.9,
170,US10chas026,40.6249,-101.7822,1036.0,
171,US10chas027,40.4702,-101.748,996.1,
172,US10chas028,40.4688,-101.541,972.0,
173,US10chas029,40.4434,-101.7821,1028.1,
174,US10chas030,40.5789,-101.4193,969.0,
175,US10chas031,40.3793,-101.5415,1036.0,
176,US10chas032,40.3773,-101.855,1049.1,
177,US10chas033,40.393,-101.7795,1029.0,
178,US10chas034,40.4309,-101.4868,930.9,
179,US10chas035,40.6539,-101.4379,0.0,
180,US10chas036,40.6376,-101.4573,0.0,
181,US10chas037,40.4152,-101.3746,0.0,
182,US10cher001,42.3495,-101.1024,989.1,
183,US10cher004,42.1461,-100.5307,883.9,
184,US10cher005,42.872,-100.5448,787.0,
185,US10cher006,42.3039,-100.2193,850.1,
186,US10cher007,42.942,-100.71,847.0,
187,US10cher008,42.9975,-100.2211,761.1,
188,US10cher009,42.4568,-100.5756,904.0,
189,US10cher010,42.198,-101.777,1146.0,
190,US10cher011,42.6624,-100.4779,861.1,
191,US10cher012,42.4781,-100.9129,937.0,
192,US10cher013,42.3536,-100.6312,900.1,
193,US10cher014,42.293,-100.3597,854.0,
194,US10cher016,42.9375,-101.2438,947.0,
195,US10cher017,42.7032,-100.6163,865.0,
196,US10cher018,42.9955,-101.7119,1004.9,
197,US10cher019,42.8679,-101.4056,878.1,
198,US10cher022,42.9816,-100.5682,846.1,
199,US10cher023,42.6315,-100.6702,879.0,
200,US10cher024,42.82,-101.2825,862.9,
201,US10cher025,42.6558,-100.2688,826.9,
202,US10cher026,42.4186,-101.557,1075.0,
203,US10cher027,42.8978,-101.2733,0.0,
204,US10cher028,42.8151,-101.613,0.0,
205,US10cher032,42.6638,-100.6651,0.0,
206,US10chey002,41.2638,-102.8855,1277.1,
207,US10chey003,41.4098,-102.972,1296.9,
208,US10chey004,41.1548,-103.1077,1324.1,
209,US10chey005,41.04,-102.96,1307.0,
210,US10chey006,41.4026,-102.9707,1302.1,
211,US10chey007,41.127,-102.97,1257.9,
212,US10chey008,41.1491,-102.6355,1175.0,
213,US10chey009,41.1059,-102.8108,1246.9,
214,US10chey010,41.3766,-103.0495,1323.1,
215,US10chey012,41.2225,-102.726,1217.1,
216,US10chey013,41.2369,-102.8361,1256.1,
217,US10chey014,41.3945,-103.0327,1323.1,
218,US10chey015,41.2922,-102.8016,1256.1,
219,US10chey016,41.414,-102.695,1227.1,
220,US10chey017,41.2098,-103.2978,1332.0,
221,US10chey018,41.3722,-103.1112,1338.1,
222,US10chey019,41.3264,-102.9948,1310.9,
223,US10chey021,41.1554,-102.9844,1282.9,
224,US10chey022,41.1271,-102.9594,1257.0,
225,US10chey024,41.4188,-102.9737,1296.9,
226,US10chey025,41.1289,-102.9701,1247.9,
227,US10chey026,41.2586,-103.2644,1385.0,
228,US10chey027,41.1772,-103.2022,1367.0,
229,US10chey028,41.0317,-102.9277,1296.9,
230,US10chey029,41.3956,-103.3643,1414.0,
231,US10chey030,41.3903,-103.2967,1382.9,
232,US10chey031,41.175,-102.6462,0.0,
233,US10chey032,41.0675,-102.6314,1234.1,
234,US10chey033,41.0246,-103.2684,1389.9,
235,US10chey034,41.2661,-102.9896,1297.8,
236,US10chey035,41.118,-103.1154,1285.0,
237,US10chey036,41.1334,-103.2254,1328.0,
238,US10chey037,41.0622,-103.2221,1323.1,
239,US10chey038,41.2362,-102.6945,1206.1,
240,US10chey041,41.202,-103.163,1296.9,
241,US10chey045,41.2807,-102.9306,1289.0,
242,US10chey046,41.189,-103.2204,1330.1,
243,US10chey047,41.0054,-102.9378,0.0,
244,US10chey049,41.0492,-103.1975,0.0,
245,US10chey053,41.0856,-102.6689,0.0,
246,US10chey056,41.3499,-102.8094,0.0,
247,US10chey060,41.1339,-102.9777,0.0,
248,US10clay002,40.3504,-97.897,512.1,
249,US10clay004,40.5318,-98.107,552.9,
250,US10clay005,40.4019,-97.9945,530.0,
251,US10clay007,40.5099,-98.2439,561.1,
252,US10clay008,40.4549,-98.0329,537.1,
253,US10clay009,40.6115,-98.2773,570.9,
254,US10clay012,40.6698,-98.1668,559.0,
255,US10clay013,40.4615,-98.0694,544.1,
256,US10clay015,40.6114,-97.8523,515.1,
257,US10clay017,40.4517,-97.9066,527.0,
258,US10clay018,40.526,-98.0537,547.1,
259,US10clay019,40.5402,-98.2414,566.0,
260,US10clay020,40.5245,-98.1652,556.9,
261,US10clay021,40.4813,-98.1273,548.0,
262,US10clay023,40.4473,-98.0466,537.1,
263,US10clay024,40.6942,-98.0532,530.0,
264,US10clay025,40.4224,-98.2226,552.0,
265,US10clay027,40.4522,-98.2156,0.0,
266,US10clay029,40.4086,-98.1087,0.0,
267,US10clay037,40.5967,-97.8673,0.0,
268,US10clay039,40.6236,-98.0925,0.0,
269,US10clay041,40.5199,-98.0526,0.0,
270,US10clay044,40.6101,-97.8621,0.0,
271,US10colf001,41.7014,-97.0731,460.9,
272,US10colf002,41.5837,-97.0027,438.0,
273,US10colf003,41.596,-97.1614,487.1,
274,US10colf005,41.4186,-97.2521,430.1,
275,US10cumi002,41.8049,-96.6907,431.0,
276,US10cumi003,41.8664,-96.7995,431.0,
277,US10cumi005,41.9103,-96.6379,424.9,
278,US10cumi006,41.9826,-96.9095,417.0,
279,US10cumi007,41.82,-96.71,406.0,
280,US10cumi008,41.9301,-96.8078,417.0,
281,US10cumi009,42.0028,-96.5717,434.0,
282,US10cumi010,41.7973,-96.7926,427.0,
283,US10cumi011,42.0045,-96.7088,452.0,
284,US10cumi012,42.0149,-96.5756,0.0,
285,US10cust001,41.1325,-99.7503,782.1,
286,US10cust002,41.6544,-99.4623,716.9,
287,US10cust003,41.4206,-100.1929,823.9,
288,US10cust004,41.1492,-100.1954,900.1,
289,US10cust005,41.2685,-99.5322,765.0,
290,US10cust007,41.2891,-99.3739,716.0,
291,US10cust008,41.5246,-99.716,821.1,
292,US10cust009,41.5285,-99.8369,807.1,
293,US10cust010,41.1759,-99.6131,726.0,
294,US10cust011,41.5008,-100.0225,919.9,
295,US10cust012,41.6293,-99.9052,819.0,
296,US10cust013,41.689,-99.9324,830.0,
297,US10cust014,41.5419,-100.0685,880.0,
298,US10cust015,41.7171,-99.9848,823.0,
299,US10cust016,41.6,-99.7523,769.0,
300,US10cust017,41.2252,-99.6644,741.0,
301,US10cust020,41.2793,-100.1589,918.1,
302,US10cust021,41.4517,-99.9745,907.1,
303,US10cust022,41.409,-99.4638,761.1,
304,US10cust027,41.7346,-99.6987,835.2,
305,US10cust028,41.6399,-99.3898,712.0,
306,US10cust029,41.5562,-99.2362,698.0,
307,US10cust032,41.4189,-99.8858,0.0,
308,US10cust035,41.5661,-100.0212,0.0,
309,US10cust039,41.2888,-99.9237,0.0,
310,US10cust040,41.2868,-99.7077,0.0,
311,US10cust041,41.4004,-99.5844,0.0,
312,US10cust042,41.6273,-99.741,0.0,
313,US10cust045,41.412,-99.6378,0.0,
314,US10cust046,41.4816,-99.8928,0.0,
315,US10dako002,42.3484,-96.6192,381.9,
316,US10dako003,42.3882,-96.5916,0.0,
317,US10dawe001,42.8292,-102.9939,1033.9,
318,US10dawe002,42.8304,-102.9956,1032.1,
319,US10dawe003,42.7696,-103.0213,1081.1,
320,US10dawe005,42.7177,-103.0117,1029.9,
321,US10dawe006,42.6675,-103.2848,1170.1,
322,US10dawe007,42.8037,-103.0531,1024.1,
323,US10dawe010,42.6256,-102.8125,1214.0,
324,US10dawe011,42.5602,-103.0704,1288.1,
325,US10dawe012,42.7625,-103.3398,1067.1,
326,US10dawe013,42.5495,-103.3619,1382.9,
327,US10dawe015,42.4525,-102.9868,1195.1,
328,US10dawe016,42.6975,-103.3779,1118.0,
329,US10dawe017,42.4672,-103.145,1232.9,
330,US10dawe018,42.5116,-103.1096,1268.9,
331,US10dawe019,42.7123,-103.0049,1192.1,
332,US10dawe023,42.457,-102.9293,0.0,
333,US10dawe025,42.8475,-103.0671,0.0,
334,US10dawe026,42.668,-103.0668,0.0,
335,US10dawe027,42.611,-103.0857,0.0,
336,US10dawe030,42.4549,-103.2334,0.0,
337,US10daws001,40.8658,-99.8494,754.1,
338,US10daws002,40.78,-99.72,730.0,
339,US10daws003,40.781,-99.5593,0.0,
340,US10daws004,40.8844,-100.0327,768.1,
341,US10daws005,40.7104,-99.7008,722.1,
342,US10daws006,40.694,-99.587,709.0,
343,US10daws007,41.0007,-100.1654,812.9,
344,US10daws008,40.7966,-99.9956,762.0,
345,US10daws009,40.8876,-100.1645,782.1,
346,US10daws010,40.9455,-99.5599,738.8,
347,US10daws011,40.9238,-99.4457,748.9,
348,US10daws012,41.0118,-99.6248,0.0,
349,US10daws013,40.7471,-99.4578,709.9,
350,US10daws014,40.7135,-99.5213,707.1,
351,US10daws015,40.7099,-100.1229,826.9,
352,US10daws017,40.8715,-99.981,0.0,
353,US10daws018,40.9394,-100.1577,795.2,
354,US10deue001,41.0936,-102.4766,1128.1,
355,US10deue002,41.0955,-102.471,1133.9,
356,US10deue003,41.087,-102.4699,1119.8,
357,US10deue004,41.1496,-102.3234,1147.9,
358,US10deue005,41.1106,-102.3243,1147.0,
359,US10deue009,41.0613,-102.0896,1036.9,
360,US10deue010,41.1297,-102.4565,1182.0,
361,US10deue012,41.0479,-102.5835,1207.0,
362,US10deue013,41.0946,-102.4586,1139.0,
363,US10deue015,41.0025,-102.241,1054.9,
364,US10deue016,41.0557,-102.074,1026.9,
365,US10deue017,41.047,-102.147,1044.9,
366,US10deue018,41.1828,-102.5743,1213.1,
367,US10deue020,41.1266,-102.246,0.0,
368,US10deue021,41.0911,-102.5577,0.0,
369,US10deue025,41.0942,-102.4764,0.0,
370,US10dixo001,42.4273,-96.9774,463.0,
371,US10dixo003,42.3056,-96.7977,465.1,
372,US10dixo005,42.5618,-96.7053,348.1,
373,US10dixo006,42.5766,-96.8686,421.8,
374,US10dodg005,41.668,-96.628,392.0,
375,US10dodg012,41.6544,-96.5097,0.0,
376,US10doug001,41.2201,-96.1474,324.0,
377,US10doug002,41.199,-96.1841,362.1,
378,US10doug005,41.2582,-96.1784,356.0,
379,US10doug006,41.2658,-95.9927,366.1,
380,US10doug007,41.2811,-96.1593,366.1,
381,US10doug009,41.1977,-96.152,356.0,
382,US10doug012,41.289,-96.331,340.2,
383,US10doug013,41.3337,-95.9828,363.0,
384,US10doug014,41.2166,-96.1456,327.1,
385,US10doug015,41.32,-95.975,363.0,
386,US10doug018,41.2924,-96.0062,373.1,
387,US10doug019,41.1977,-96.0737,360.9,
388,US10doug020,41.2903,-96.0279,346.9,
389,US10doug021,41.2964,-96.2471,369.1,
390,US10doug022,41.114,-96.1323,345.9,
391,US10doug024,41.2844,-96.1014,0.0,
392,US10doug025,41.3639,-96.1558,0.0,
393,US10doug029,41.2523,-96.1839,349.9,
394,US10doug031,41.2585,-96.2296,366.1,
395,US10doug033,41.294,-96.1629,0.0,
396,US10doug035,41.269,-96.116,0.0,
397,US10doug036,41.3114,-96.1412,0.0,
398,US10doug046,41.3003,-96.0398,0.0,
399,US10doug051,41.3553,-96.2138,0.0,
400,US10doug052,41.2538,-96.3304,0.0,
401,US10doug053,41.2499,-96.1714,0.0,
402,US10doug054,41.3121,-96.1779,0.0,
403,US10doug055,41.3661,-96.3878,0.0,
404,US10doug057,41.2042,-96.1052,0.0,
405,US10doug059,41.206,-96.1812,0.0,
406,US10doug060,41.2687,-95.9869,0.0,
407,US10doug064,41.3348,-96.366,0.0,
408,US10dund001,40.0535,-101.5336,919.0,
409,US10dund002,40.1135,-101.4065,0.0,
410,US10dund003,40.0194,-101.3384,922.0,
411,US10dund004,40.1626,-101.6806,1015.9,
412,US10dund005,40.1765,-101.39,961.9,
413,US10dund006,40.2061,-101.3638,964.1,
414,US10dund007,40.2213,-101.5863,988.2,
415,US10dund008,40.3158,-101.8781,1058.0,
416,US10dund009,40.2787,-101.6933,1022.0,
417,US10dund010,40.1177,-101.7821,994.0,
418,US10dund011,40.1548,-101.4734,929.0,
419,US10dund013,40.2894,-101.3616,990.9,
420,US10dund014,40.0757,-101.5947,979.9,
421,US10dund015,40.3361,-101.4339,1001.0,
422,US10dund016,40.3219,-101.5138,1024.1,
423,US10dund017,40.139,-101.8625,1047.9,
424,US10dund018,40.3343,-101.3468,983.9,
425,US10dund019,40.1078,-101.5849,986.0,
426,US10dund020,40.3347,-101.3795,992.1,
427,US10dund022,40.2415,-101.7007,1032.1,
428,US10dund023,40.12,-101.7334,0.0,
429,US10fill001,40.6386,-97.556,497.1,
430,US10fill002,40.634,-97.5841,501.1,
431,US10fill003,40.3785,-97.73,505.1,
432,US10fill005,40.5402,-97.672,498.0,
433,US10fill006,40.4067,-97.3739,479.1,
434,US10fill007,40.3509,-97.5014,481.0,
435,US10fill008,40.5195,-97.5985,0.0,
436,US10fill010,40.6539,-97.5199,490.1,
437,US10fill011,40.5866,-97.6917,509.9,
438,US10fill012,40.4886,-97.7485,510.8,
439,US10fill014,40.5357,-97.4347,0.0,
440,US10fill015,40.527,-97.5982,0.0,
441,US10fill019,40.4362,-97.483,0.0,
442,US10fran001,40.0747,-98.8176,543.2,
443,US10fran002,40.2732,-99.0295,666.0,
444,US10fran003,40.288,-98.9208,647.1,
445,US10fran004,40.098,-98.9572,576.1,
446,US10fran005,40.0781,-99.1414,588.9,
447,US10fran006,40.2623,-99.1075,679.1,
448,US10fran007,40.2776,-99.1562,677.9,
449,US10fran008,40.1071,-98.9437,584.0,
450,US10fran009,40.2478,-98.8561,648.0,
451,US10fran013,40.0576,-99.1572,581.9,
452,US10fran014,40.3363,-99.0419,0.0,
453,US10fran015,40.0999,-98.9228,0.0,
454,US10fron002,40.5556,-100.4389,808.9,
455,US10fron003,40.3726,-100.4113,815.0,
456,US10fron004,40.6295,-100.5277,783.9,
457,US10fron005,40.3652,-100.3659,764.1,
458,US10fron006,40.693,-100.0471,837.9,
459,US10fron007,40.6595,-100.6237,819.9,
460,US10fron008,40.631,-100.5159,790.0,
461,US10fron009,40.6199,-100.0473,790.0,
462,US10fron010,40.6901,-100.0995,844.9,
463,US10fron011,40.57,-100.1177,787.9,
464,US10fron012,40.4063,-100.3632,823.9,
465,US10fron014,40.4028,-100.6412,844.0,
466,US10fron015,40.5081,-100.6456,880.0,
467,US10fron016,40.5523,-100.0582,776.0,
468,US10fron017,40.3882,-100.1712,762.9,
469,US10fron018,40.5422,-100.2858,0.0,
470,US10fron019,40.5021,-100.5022,0.0,
471,US10furn001,40.3021,-100.1547,712.0,
472,US10furn002,40.2928,-99.6693,677.9,
473,US10furn003,40.1823,-99.8051,676.0,
474,US10furn004,40.0502,-99.8189,661.1,
475,US10furn005,40.3073,-99.982,673.0,
476,US10furn006,40.0096,-99.9996,691.9,
477,US10furn007,40.0732,-99.6668,659.0,
478,US10furn008,40.0887,-99.892,712.9,
479,US10furn009,40.2179,-100.0153,0.0,
480,US10furn010,40.1478,-99.8943,705.9,
481,US10furn014,40.133,-99.8238,665.1,
482,US10furn015,40.2463,-99.9516,719.9,
483,US10furn018,40.2499,-99.6375,640.1,
484,US10furn019,40.2596,-99.7367,643.1,
485,US10furn020,40.1145,-100.1042,719.9,
486,US10furn022,40.3083,-99.9056,0.0,
487,US10furn024,40.2215,-100.1086,744.9,
488,US10furn025,40.2854,-100.179,0.0,
489,US10furn031,40.0451,-100.0164,0.0,
490,US10gage002,40.2799,-96.7359,406.0,
491,US10gage003,40.0525,-96.5774,367.0,
492,US10gage004,40.3063,-96.875,408.1,
493,US10gage006,40.2455,-96.4988,465.1,
494,US10gage007,40.0305,-96.8817,433.1,
495,US10gage008,40.3642,-96.6782,417.9,
496,US10gage009,40.0086,-96.7029,396.8,
497,US10gage012,40.5008,-96.7049,444.1,
498,US10gage013,40.2911,-96.5367,430.1,
499,US10gage015,40.1312,-96.6284,404.2,
500,US10gage017,40.2143,-96.5954,427.9,
501,US10gage018,40.0445,-96.5112,406.0,
502,US10gage020,40.377,-96.9086,395.9,
503,US10gage021,40.4678,-96.829,424.9,
504,US10gage022,40.118,-96.879,410.0,
505,US10gage023,40.0731,-96.7611,395.0,
506,US10gage025,40.5039,-96.5896,413.0,
507,US10gage026,40.453,-96.5099,398.1,
508,US10gage035,40.267,-96.7144,0.0,
509,US10gage044,40.4914,-96.5204,0.0,
510,US10gard002,41.4093,-102.4439,1042.1,
511,US10gard003,41.3342,-102.5328,1178.1,
512,US10gard004,41.4114,-102.346,0.0,
513,US10gard007,41.8016,-102.5544,1171.0,
514,US10gard008,41.2437,-102.5323,1193.0,
515,US10gard009,41.3366,-102.1023,1015.9,
516,US10gard010,41.9762,-102.3879,1183.8,
517,US10gard011,41.4039,-102.3447,1035.1,
518,US10gard016,41.2373,-102.4249,0.0,
519,US10gard019,41.388,-102.179,0.0,
520,US10garf001,41.7952,-99.1076,676.0,
521,US10garf002,42.022,-98.9171,0.0,
522,US10garf003,41.8614,-99.0989,744.9,
523,US10garf004,42.058,-98.9925,691.0,
524,US10garf005,42.0123,-98.899,676.0,
525,US10garf006,41.7862,-99.1309,651.1,
526,US10garf007,41.7223,-99.02,0.0,
527,US10garf009,41.7533,-99.1485,0.0,
528,US10garf010,41.8256,-99.1867,0.0,
529,US10garf011,41.9688,-99.1466,0.0,
530,US10gosp001,40.3974,-99.6763,719.9,
531,US10gosp002,40.4379,-99.8351,741.0,
532,US10gosp003,40.34,-99.5716,0.0,
533,US10gosp004,40.3873,-99.973,705.9,
534,US10gosp006,40.4087,-99.6633,0.0,
535,US10gran003,41.8177,-101.4405,1096.1,
536,US10gran004,41.9685,-102.024,1189.0,
537,US10gran008,41.971,-101.4603,1075.9,
538,US10gran009,41.9993,-101.7542,1135.1,
539,US10gran010,41.8993,-101.9545,1166.2,
540,US10gran011,41.8507,-101.446,1086.9,
541,US10gran013,41.9721,-101.4685,0.0,
542,US10gree002,41.6883,-98.3615,586.1,
543,US10gree003,41.4238,-98.6947,594.1,
544,US10gree004,41.4663,-98.6272,609.0,
545,US10gree005,41.4632,-98.4799,599.8,
546,US10gree006,41.6563,-98.7329,666.9,
547,US10gree007,41.6869,-98.3657,583.1,
548,US10gree009,41.7076,-98.4852,623.0,
549,US10gree010,41.582,-98.6543,648.9,
550,US10gree011,41.581,-98.3857,616.9,
551,US10gree012,41.4611,-98.4383,0.0,
552,US10hall001,40.9294,-98.3767,570.9,
553,US10hall002,40.9187,-98.3863,574.9,
554,US10hall003,40.9407,-98.3474,570.0,
555,US10hall004,40.8585,-98.3781,574.9,
556,US10hall005,40.7874,-98.3029,586.1,
557,US10hall006,41.0376,-98.6071,599.8,
558,US10hall007,41.018,-98.3042,558.1,
559,US10hall008,40.8229,-98.5984,604.1,
560,US10hall009,40.7734,-98.4137,583.1,
561,US10hall010,40.7467,-98.579,598.9,
562,US10hall011,41.0018,-98.6143,598.9,
563,US10hall012,40.8745,-98.5746,595.9,
564,US10hall014,40.7037,-98.7025,613.0,
565,US10hall015,40.9291,-98.3518,0.0,
566,US10hall016,40.9357,-98.3378,570.0,
567,US10hall017,40.8215,-98.4201,580.0,
568,US10hall018,40.7859,-98.6834,611.1,
569,US10hall019,40.8883,-98.5447,593.1,
570,US10hall020,40.8873,-98.7113,616.9,
571,US10hall021,40.9435,-98.3695,569.1,
572,US10hall026,40.9331,-98.3548,573.9,
573,US10hall027,40.9514,-98.4135,0.0,
574,US10hall035,40.898,-98.3619,0.0,
575,US10hall039,40.9894,-98.5117,0.0,
576,US10hall042,40.9436,-98.3706,0.0,
577,US10hall043,40.7921,-98.6456,0.0,
578,US10hami001,41.0539,-97.8878,537.1,
